id,timestamp,source,text,location,program,project_id
1,2025-09-15T07:45:00Z,Twitter,"Morning commute was surprisingly smooth today, the new bus lane really helps.",Downtown,Transit Upgrade,P001-Transit
2,2025-09-15T09:10:00Z,Forum,"Even with the new buses, the schedule is unreliable and people are still waiting in the heat.",Downtown,Transit Upgrade,P001-Transit
3,2025-09-15T12:30:00Z,Survey,"Residents report moderate satisfaction with public transport but complain about crowding at peak hours.",Citywide,Transit Upgrade,P001-Transit
4,2025-09-15T18:05:00Z,Twitter,"Just saw the renovated park by the river – more trees, more shade, and kids everywhere. Feels great.",Riverfront,Green Public Spaces,P002-Parks
5,2025-09-16T08:20:00Z,Email,"Local partners are requesting clearer indicators on how climate funds are being used in vulnerable neighborhoods.",Citywide,Climate Governance,P003-ClimateGov
6,2025-09-16T11:55:00Z,News,"City officials admit that drainage upgrades are behind schedule ahead of the upcoming rainy season.",Floodplain District,Drainage Upgrade,P004-Drainage
7,2025-09-16T19:40:00Z,Blog,"Flooding used to hit my street every year, but after the green infrastructure pilot, water drains much faster.",Floodplain District,Drainage Upgrade,P004-Drainage
8,2025-09-17T06:50:00Z,Twitter,"Power outage again at 6 a.m. This is the third time this month. Totally unacceptable.",Outer Neighborhoods,Power Reliability,P005-Power
9,2025-09-17T13:15:00Z,Forum,"Some users say the new mobile app for reporting outages is useful, but many have no idea it exists.",Citywide,Power Reliability,P005-Power
10,2025-09-17T21:05:00Z,Twitter,"Impressed by how quickly the hotline responded to last night’s outage, way better than last year.",Citywide,Power Reliability,P005-Power
11,2025-09-18T09:25:00Z,Survey,"Businesses cite unreliable electricity and slow permits as major barriers to investment in the city center.",City Center,Investment Climate,P006-BusinessEnv
12,2025-09-18T15:40:00Z,News,"A new coastal erosion study shows that informal settlements near the shoreline face the highest risk.",Coastal Zone,Coastal Protection,P007-Coast
13,2025-09-18T18:55:00Z,Twitter,"Community meeting on coastal protection was packed. People are worried but also eager to help restore mangroves.",Coastal Zone,Coastal Protection,P007-Coast
14,2025-09-19T07:30:00Z,Blog,"Young volunteers are organizing monthly river cleanups; the water still looks dirty, but participation keeps growing.",Riverfront,Community Engagement,P008-Engagement
